"watershed_name","money_funded_mean_pcsrf","divided_1000_pcsrf_mean"
"Clackamas",41017.14,41.02
"Coast Fork Willamette",60457.14,60.46
"Lower Willamette",1900,1.9
"Mckenzie",14703.7,14.7
"Middle Fork Willamette",46333.33,46.33
"Middle Willamette",27213,27.21
"Molalla-Pudding",10435,10.44
"North Santiam",49641,49.64
"Tualatin",201644,201.64
"Upper Calapooia River",5172.5,5.17
"Upper Willamette",80155.18,80.16
"Yamhill",48557.5,48.56
