"watershed_name","money_funded_mean","divided_1000_mean"
"Clackamas",32541.67,32.54
"Coast Fork Willamette",54721.88,54.72
"Lower Willamette",35403.19,35.4
"Mckenzie",78689.35,78.69
"Middle Fork Willamette",17639.83,17.64
"Middle Willamette",34040.7,34.04
"Molalla-Pudding",12831.71,12.83
"North Santiam",49641,49.64
"South Santiam",22815.5,22.82
"Tualatin",46634.85,46.63
"Upper Calapooia River",34588,34.59
"Upper Willamette",49139.07,49.14
"Yamhill",48407.56,48.41
