"watershed_name","money_funded_sum_others","divided_1000_others_sum"
"Clackamas",0,0
"Coast Fork Willamette",9835,9.84
"Lower Willamette",0,0
"Mckenzie",0,0
"Middle Fork Willamette",0,0
"Middle Willamette",0,0
"Molalla-Pudding",11000,11
"North Santiam",0,0
"South Santiam",0,0
"Tualatin",0,0
"Upper Calapooia River",0,0
"Upper Willamette",0,0
"Yamhill",15000,15
