"watershed_name","money_funded_median_pcsrf","divided_1000_pcsrf_median"
"Clackamas",60000,60
"Coast Fork Willamette",32300,32.3
"Lower Willamette",1900,1.9
"Mckenzie",5988,5.99
"Middle Fork Willamette",45000,45
"Middle Willamette",13492,13.49
"Molalla-Pudding",10435,10.44
"North Santiam",49641,49.64
"Tualatin",201644,201.64
"Upper Calapooia River",5172.5,5.17
"Upper Willamette",54101,54.1
"Yamhill",41500,41.5
