"watershed_name","money_funded_mean_state","divided_1000_state_mean"
"Clackamas",14768.57,14.77
"Coast Fork Willamette",4740,4.74
"Lower Willamette",36422.65,36.42
"Mckenzie",79871.26,79.87
"Middle Fork Willamette",7267.8,7.27
"Middle Willamette",24040.24,24.04
"Molalla-Pudding",11641.81,11.64
"South Santiam",22815.5,22.82
"Tualatin",16913.75,16.91
"Upper Calapooia River",54198.33,54.2
"Upper Willamette",19823.4,19.82
"Yamhill",27364.6,27.36
