"watershed_name","money_funded_median","divided_1000"
"Clackamas",16000,16
"Coast Fork Willamette",82785.5,83
"Lower Willamette",44100,44
"Mckenzie",7500,8
"Middle Fork Willamette",524718,525
"Middle Willamette",21885,22
"Molalla-Pudding",7787.5,8
"North Santiam",29267,29
"South Santiam",40000,40
"Tualatin",5527,6
"Upper Calapooia River",350000,350
"Upper Willamette",1642302,1642
"Yamhill",43560,44
