"watershed_name","money_funded_sum_state","divided_1000_state_sum"
"Clackamas",103380,103.38
"Coast Fork Willamette",4740,4.74
"Lower Willamette",1129102,1129.1
"Mckenzie",2795494,2795.49
"Middle Fork Willamette",72678,72.68
"Middle Willamette",408684,408.68
"Molalla-Pudding",186269,186.27
"North Santiam",0,0
"South Santiam",45631,45.63
"Tualatin",202965,202.96
"Upper Calapooia River",162595,162.6
"Upper Willamette",991170,991.17
"Yamhill",273646,273.65
