"watershed_name","money_funded_median_state","divided_1000_state_median"
"Clackamas",9924,9.92
"Coast Fork Willamette",4740,4.74
"Lower Willamette",8000,8
"Mckenzie",84163,84.16
"Middle Fork Willamette",6938,6.94
"Middle Willamette",9900,9.9
"Molalla-Pudding",5897,5.9
"South Santiam",22815.5,22.82
"Tualatin",8771,8.77
"Upper Calapooia River",1000,1
"Upper Willamette",9960.5,9.96
"Yamhill",4264,4.26
