"watershed_name","money_funded_sum","divided_1000_sum"
"Clackamas",390500,390.5
"Coast Fork Willamette",437775,437.78
"Lower Willamette",1132902,1132.9
"Mckenzie",3383642,3383.64
"Middle Fork Willamette",211678,211.68
"Middle Willamette",680814,680.81
"Molalla-Pudding",218139,218.14
"North Santiam",49641,49.64
"South Santiam",45631,45.63
"Tualatin",606253,606.25
"Upper Calapooia River",172940,172.94
"Upper Willamette",3636291,3636.29
"Yamhill",871336,871.34
