"watershed_name","money_funded_sum_pcsrf","divided_1000_pcsrf_sum"
"Clackamas",287120,287.12
"Coast Fork Willamette",423200,423.2
"Lower Willamette",3800,3.8
"Mckenzie",588148,588.15
"Middle Fork Willamette",139000,139
"Middle Willamette",272130,272.13
"Molalla-Pudding",20870,20.87
"North Santiam",49641,49.64
"South Santiam",0,0
"Tualatin",403288,403.29
"Upper Calapooia River",10345,10.35
"Upper Willamette",2645121,2645.12
"Yamhill",582690,582.69
